"country","year","location","yield","region","average_temperature","SUM_PRCP","log_yield"
"Zimbabwe","2022","Chisumbanje",0.739782633053221,"Region 4",20.25,161,-0.301398875050975
"Zimbabwe","2022","Chisumbanje",0.373028571428571,"Region 4",20.25,161,-0.986100263267664
"Zimbabwe","2022","Chisumbanje",0.328282352941176,"Region 4",20.25,161,-1.11388120876375
"Zimbabwe","2022","Chisumbanje",0.0795966386554622,"Region 4",20.25,161,-2.53078341496988
"Zimbabwe","2022","Chisumbanje",0.511139495798319,"Region 4",20.25,161,-0.671112740125615
"Zimbabwe","2022","Chisumbanje",0.353380392156863,"Region 4",20.25,161,-1.0402102040629
"Zimbabwe","2022","Chisumbanje",0.481882352941176,"Region 4",20.25,161,-0.730055275759065
"Zimbabwe","2022","Chisumbanje",0.418205042016807,"Region 4",20.25,161,-0.871783435587764
"Zimbabwe","2022","Chisumbanje",1.1242487394958,"Region 4",20.25,161,0.11711502547241
"Zimbabwe","2022","Chisumbanje",1.19488179271709,"Region 4",20.25,161,0.178047262262367
"Zimbabwe","2022","Chisumbanje",0.126637535014006,"Region 4",20.25,161,-2.06642632811235
"Zimbabwe","2022","Chisumbanje",0.273371428571429,"Region 4",20.25,161,-1.29692386428114
"Zimbabwe","2022","Chisumbanje",0.404580392156863,"Region 4",20.25,161,-0.904904817714317
"Zimbabwe","2022","Chisumbanje",0.26727619047619,"Region 4",20.25,161,-1.31947273396775
"Zimbabwe","2022","Chisumbanje",0.959175350140056,"Region 4",20.25,161,-0.0416813739517766
"Zimbabwe","2022","Chisumbanje",0.625299719887955,"Region 4",20.25,161,-0.469524192373234
"Zimbabwe","2022","Chisumbanje",0.359959663865546,"Region 4",20.25,161,-1.0217632986274
"Zimbabwe","2022","Chisumbanje",0.47349243697479,"Region 4",20.25,161,-0.747619339081688
"Zimbabwe","2022","Chisumbanje",0.745196638655462,"Region 4",20.25,161,-0.294107150925824
"Zimbabwe","2022","Chisumbanje",0.397535014005602,"Region 4",20.25,161,-0.92247226321837
"Zimbabwe","2022","Chisumbanje",0.970326050420168,"Region 4",20.25,161,-0.0301231295114563
"Zimbabwe","2022","Chisumbanje",0.317669467787115,"Region 4",20.25,161,-1.14674384623708
"Zimbabwe","2022","Chisumbanje",1.10556862745098,"Region 4",20.25,161,0.100359797589388
"Zimbabwe","2022","Chisumbanje",0.496833613445378,"Region 4",20.25,161,-0.69950009073749
"Zimbabwe","2022","Chisumbanje",0.88796862745098,"Region 4",20.25,161,-0.118818866061161
"Zimbabwe","2022","Chisumbanje",1.02659943977591,"Region 4",20.25,161,0.0262518254356663
"Zimbabwe","2021","Cimmyt Harare",8.01263542857143,"Region 1",19.75,606.2,2.08101972426575
"Zimbabwe","2021","Cimmyt Harare",10.7713137777778,"Region 1",19.75,606.2,2.37688646866633
"Zimbabwe","2021","Cimmyt Harare",12.1670948571429,"Region 1",19.75,606.2,2.49873516503882
"Zimbabwe","2021","Cimmyt Harare",13.0544396190476,"Region 1",19.75,606.2,2.56912827660687
"Zimbabwe","2021","Cimmyt Harare",10.3195936507937,"Region 1",19.75,606.2,2.33404438435511
"Zimbabwe","2021","Cimmyt Harare",11.5473066666667,"Region 1",19.75,606.2,2.44645222074183
"Zimbabwe","2021","Cimmyt Harare",12.7790811428571,"Region 1",19.75,606.2,2.5478095483096
"Zimbabwe","2021","Cimmyt Harare",7.67052190476191,"Region 1",19.75,606.2,2.03738465801361
"Zimbabwe","2021","Cimmyt Harare",12.142017015873,"Region 1",19.75,606.2,2.49667191811337
"Zimbabwe","2021","Cimmyt Harare",13.3005084444444,"Region 1",19.75,606.2,2.5878022634026
"Zimbabwe","2021","Cimmyt Harare",8.92759771428571,"Region 1",19.75,606.2,2.18914734574
"Zimbabwe","2021","Cimmyt Harare",13.5595316825397,"Region 1",19.75,606.2,2.60708974522998
"Zimbabwe","2021","Cimmyt Harare",6.13026133333333,"Region 1",19.75,606.2,1.81323738090455
"Zimbabwe","2021","Cimmyt Harare",11.5541800634921,"Region 1",19.75,606.2,2.44704728175314
"Zimbabwe","2021","Cimmyt Harare",9.88384304761905,"Region 1",19.75,606.2,2.29090140856069
"Zimbabwe","2021","Cimmyt Harare",11.9572561269841,"Region 1",19.75,606.2,2.48133830138078
"Zimbabwe","2021","Cimmyt Harare",12.5341500952381,"Region 1",19.75,606.2,2.5284569267777
"Zimbabwe","2021","Cimmyt Harare",10.2980835555556,"Region 1",19.75,606.2,2.33195781535639
"Zimbabwe","2021","Cimmyt Harare",10.1377422222222,"Region 1",19.75,606.2,2.31626531284015
"Zimbabwe","2021","Cimmyt Harare",6.7321153015873,"Region 1",19.75,606.2,1.90688940357156
"Zimbabwe","2021","Cimmyt Harare",11.8468632380952,"Region 1",19.75,606.2,2.47206312689444
"Zimbabwe","2021","Cimmyt Harare",14.6677008253968,"Region 1",19.75,606.2,2.68564785358689
"Zimbabwe","2021","Cimmyt Harare",11.1139494603175,"Region 1",19.75,606.2,2.40820102745829
"Zimbabwe","2021","Cimmyt Harare",11.739070984127,"Region 1",19.75,606.2,2.46292267874129
"Zimbabwe","2021","Cimmyt Harare",13.2462303492063,"Region 1",19.75,606.2,2.58371301000718
"Zimbabwe","2021","Cimmyt Harare",10.0658631111111,"Region 1",19.75,606.2,2.3091498091271
"Zimbabwe","2021","Cimmyt Harare",13.2349805714286,"Region 1",19.75,606.2,2.58286336770886
"Zimbabwe","2021","Cimmyt Harare",8.76586666666667,"Region 1",19.75,606.2,2.17086539159879
"Zimbabwe","2021","Cimmyt Harare",11.2157582222222,"Region 1",19.75,606.2,2.41731977355331
"Zimbabwe","2021","Cimmyt Harare",11.9620327619048,"Region 1",19.75,606.2,2.48173769745032
"Zimbabwe","2021","Cimmyt Harare",8.03628698412698,"Region 1",19.75,606.2,2.08396715862549
