"country","year","location","yield"
"Zambia",2021,"Magobo","10.2570045904929"
"Zambia",2021,"Magobo","8.60952380952381"
"Zambia",2021,"Magobo","8.90619978078188"
"Zambia",2021,"Magobo","11.3901099007504"
"Zambia",2021,"Magobo","10.7428262385551"
"Zambia",2021,"Magobo","9.21522430510666"
"Zambia",2021,"Magobo","11.9526142692371"
"Zambia",2021,"Magobo","7.54572549019608"
"Zambia",2021,"Magobo","8.80019719887955"
"Zambia",2021,"Magobo","9.82286198319328"
"Zambia",2021,"Magobo","12.4780389815628"
"Zambia",2021,"Magobo","10.3247596638655"
"Zambia",2021,"Magobo","9.68346549286381"
"Zambia",2021,"Magobo","12.4705639541893"
"Zambia",2021,"Magobo","11.8301914149444"
"Zambia",2021,"Magobo","11.2218352941176"
"Zambia",2021,"Magobo","10.7421467787115"
"Zambia",2021,"Magobo","11.087777097594"
"Zambia",2021,"Magobo","4.17875050497263"
"Zambia",2021,"Magobo","10.8330696905268"
"Zambia",2021,"Magobo","10.4864263711282"
"Zambia",2021,"Magobo","10.7698374193548"
"Zambia",2021,"Magobo","9.1028420920607"
"Zambia",2021,"Magobo","9.2935905882353"
"Zambia",2021,"Magobo","7.97331962432032"
"Zambia",2021,"Magobo","13.1320533860603"
"Zambia",2021,"Magobo","11.1728941176471"
"Zambia",2021,"Magobo","10.4753299719888"
"Zambia",2021,"Magobo","10.8963181794457"
"Zambia",2021,"Magobo","10.3234989251515"
"Zambia",2021,"Magobo","10.7379793638975"
"Zambia",2021,"Magobo","10.5521166415284"
"Zambia",2021,"Magobo","7.79662241344538"
"Zambia",2021,"Magobo","5.7411943977591"
"Zambia",2021,"Magobo","11.1234517432505"
"Zambia",2021,"Magobo","11.3490175301909"
"Zambia",2021,"Magobo","11.2062942720395"
"Zambia",2021,"Magobo","8.52401403508772"
"Zambia",2021,"Magobo","9.05605516052575"
"Zambia",2021,"Magobo","10.960231436837"
"Zambia",2021,"Magobo","11.1898551624471"
"Zambia",2021,"Magobo","9.69203782361429"
"Zambia",2021,"Magobo","9.45724265172736"
"Zambia",2021,"Magobo","8.23850251030349"
"Zambia",2021,"Magobo","10.7878901960784"
"Zambia",2021,"Magobo","11.7659217591799"
"Zambia",2021,"Magobo","10.8546151260504"
"Zambia",2021,"Magobo","11.839721352478"
"Zambia",2021,"Magobo","12.0650985857758"
"Zambia",2021,"Magobo","8.49558441558442"
"Zambia",2021,"Magobo","10.6966767507003"
"Zambia",2021,"Magobo","9.47725490196079"
"Zambia",2021,"Magobo","9.53498412698413"
"Zambia",2021,"Magobo","12.3040260302521"
"Zambia",2021,"Magobo","11.6718915160585"
"Zambia",2021,"Magobo","8.1803315920963"
"Zambia",2021,"Magobo","13.5355884807856"
"Zambia",2021,"Magobo","9.20009211514393"
"Zambia",2021,"Kakushi","3.53882352941176"
"Zambia",2021,"Kakushi","9.22352941176469"
"Zambia",2021,"Kakushi","7.11529411764705"
"Zambia",2021,"Kakushi","10.3905882352941"
"Zambia",2021,"Kakushi","7.8305882352941"
